lever,target,spearman,preset
equity_taxable_share,final_fed_deficit_B,-0.0286517206517206,AI 2040 — Plan D (The Race)
survivor_spillover_to_profit,final_fed_deficit_B,-0.0277984477984477,AI 2040 — Plan D (The Race)
survivor_raise_ceiling,final_fed_deficit_B,0.0269473349473349,AI 2040 — Plan D (The Race)
baseline_growth_rate,final_fed_deficit_B,-0.024333150232466,AI 2040 — Plan D (The Race)
price_passthrough,final_fed_deficit_B,-0.02404044004044,AI 2040 — Plan D (The Race)
interest_rate,final_fed_deficit_B,-0.021009393009393,AI 2040 — Plan D (The Race)
cg_realization_rate,final_fed_deficit_B,0.0202795402795402,AI 2040 — Plan D (The Race)
state_cut_share,final_fed_deficit_B,-0.0119505239505239,AI 2040 — Plan D (The Race)
state_rate_hike_cap,final_fed_deficit_B,0.0059951219951219,AI 2040 — Plan D (The Race)
physical_feasibility,final_fed_deficit_B,0.0054145095268052,AI 2040 — Plan D (The Race)
robotics_lag,final_fed_deficit_B,0.0043357243357243,AI 2040 — Plan D (The Race)
ubi_recapture_rate,final_fed_deficit_B,0.0036576996576996,AI 2040 — Plan D (The Race)
ui_weeks,final_fed_deficit_B,-0.0024200052140114,AI 2040 — Plan D (The Race)
adoption_end,final_fed_deficit_B,-0.0005865104201242,AI 2040 — Plan D (The Race)
reabsorption_rate,final_fed_deficit_B,-0.6961399561399562,"Karger et al. — Expert survey, rapid (P≈14%)"
price_reduction_share,final_fed_deficit_B,0.4281998361998362,"Karger et al. — Expert survey, rapid (P≈14%)"
lfp_exit_rate,final_fed_deficit_B,0.3057833097833098,"Karger et al. — Expert survey, rapid (P≈14%)"
retained_profit_share,final_fed_deficit_B,-0.2691789411789412,"Karger et al. — Expert survey, rapid (P≈14%)"
reemployment_haircut,final_fed_deficit_B,0.2655807735807736,"Karger et al. — Expert survey, rapid (P≈14%)"
cognitive_feasibility,final_fed_deficit_B,-0.2198983238983239,"Karger et al. — Expert survey, rapid (P≈14%)"
ssdi_annual,final_fed_deficit_B,0.1905613665613665,"Karger et al. — Expert survey, rapid (P≈14%)"
adoption_end,final_fed_deficit_B,-0.1819444339444339,"Karger et al. — Expert survey, rapid (P≈14%)"
compute_effective_rate,final_fed_deficit_B,-0.1671377271377271,"Karger et al. — Expert survey, rapid (P≈14%)"
survivor_gains_share,final_fed_deficit_B,-0.0999410679410679,"Karger et al. — Expert survey, rapid (P≈14%)"
auto_cost,final_fed_deficit_B,0.0985699825699825,"Karger et al. — Expert survey, rapid (P≈14%)"
attrition_rate,final_fed_deficit_B,-0.0834794634794634,"Karger et al. — Expert survey, rapid (P≈14%)"
robotics_lag,final_fed_deficit_B,0.0672548592548592,"Karger et al. — Expert survey, rapid (P≈14%)"
