filing_status,state,income_band_lo,income_band_hi,n_children,prob,source_level,n_unweighted
Single,Mississippi,,25000.0,1,0.0,filing_state_band,1743
Single,Mississippi,,25000.0,2,0.0,filing_state_band,1743
Single,Mississippi,,25000.0,3+,0.0,filing_state_band,1743
Single,Mississippi,25000.0,55000.0,0,1.0,filing_state_band,1387
Single,Mississippi,25000.0,55000.0,1,0.0,filing_state_band,1387
Single,Mississippi,25000.0,55000.0,2,0.0,filing_state_band,1387
Single,Mississippi,25000.0,55000.0,3+,0.0,filing_state_band,1387
Single,Mississippi,55000.0,,0,1.0,filing_state_band,1143
Single,Mississippi,55000.0,,1,0.0,filing_state_band,1143
Single,Mississippi,55000.0,,2,0.0,filing_state_band,1143
Single,Mississippi,55000.0,,3+,0.0,filing_state_band,1143
Single,Missouri,,25000.0,0,1.0,filing_state_band,3002
Single,Missouri,,25000.0,1,0.0,filing_state_band,3002
Single,Missouri,,25000.0,2,0.0,filing_state_band,3002
Single,Missouri,,25000.0,3+,0.0,filing_state_band,3002
Single,Missouri,25000.0,55000.0,0,1.0,filing_state_band,3333
Single,Missouri,25000.0,55000.0,1,0.0,filing_state_band,3333
Single,Missouri,25000.0,55000.0,2,0.0,filing_state_band,3333
Single,Missouri,25000.0,55000.0,3+,0.0,filing_state_band,3333
Single,Missouri,55000.0,,0,1.0,filing_state_band,3301
Single,Missouri,55000.0,,1,0.0,filing_state_band,3301
Single,Missouri,55000.0,,2,0.0,filing_state_band,3301
Single,Missouri,55000.0,,3+,0.0,filing_state_band,3301
Single,Montana,,25000.0,0,1.0,filing_state_band,469
Single,Montana,,25000.0,1,0.0,filing_state_band,469
Single,Montana,,25000.0,2,0.0,filing_state_band,469
Single,Montana,,25000.0,3+,0.0,filing_state_band,469
Single,Montana,25000.0,55000.0,0,1.0,filing_state_band,605
Single,Montana,25000.0,55000.0,1,0.0,filing_state_band,605
Single,Montana,25000.0,55000.0,2,0.0,filing_state_band,605
Single,Montana,25000.0,55000.0,3+,0.0,filing_state_band,605
Single,Montana,55000.0,,0,1.0,filing_state_band,639
Single,Montana,55000.0,,1,0.0,filing_state_band,639
Single,Montana,55000.0,,2,0.0,filing_state_band,639
Single,Montana,55000.0,,3+,0.0,filing_state_band,639
Single,Nebraska,,25000.0,0,1.0,filing_state_band,832
Single,Nebraska,,25000.0,1,0.0,filing_state_band,832
Single,Nebraska,,25000.0,2,0.0,filing_state_band,832
Single,Nebraska,,25000.0,3+,0.0,filing_state_band,832
Single,Nebraska,25000.0,55000.0,0,1.0,filing_state_band,1039
Single,Nebraska,25000.0,55000.0,1,0.0,filing_state_band,1039
Single,Nebraska,25000.0,55000.0,2,0.0,filing_state_band,1039
Single,Nebraska,25000.0,55000.0,3+,0.0,filing_state_band,1039
Single,Nebraska,55000.0,,0,1.0,filing_state_band,1103
Single,Nebraska,55000.0,,1,0.0,filing_state_band,1103
Single,Nebraska,55000.0,,2,0.0,filing_state_band,1103
Single,Nebraska,55000.0,,3+,0.0,filing_state_band,1103
Single,Nevada,,25000.0,0,1.0,filing_state_band,1142
Single,Nevada,,25000.0,1,0.0,filing_state_band,1142
Single,Nevada,,25000.0,2,0.0,filing_state_band,1142
Single,Nevada,,25000.0,3+,0.0,filing_state_band,1142
Single,Nevada,25000.0,55000.0,0,1.0,filing_state_band,1303
Single,Nevada,25000.0,55000.0,1,0.0,filing_state_band,1303
Single,Nevada,25000.0,55000.0,2,0.0,filing_state_band,1303
Single,Nevada,25000.0,55000.0,3+,0.0,filing_state_band,1303
Single,Nevada,55000.0,,0,1.0,filing_state_band,2189
Single,Nevada,55000.0,,1,0.0,filing_state_band,2189
Single,Nevada,55000.0,,2,0.0,filing_state_band,2189
Single,Nevada,55000.0,,3+,0.0,filing_state_band,2189
Single,New Hampshire,,25000.0,0,1.0,filing_state_band,474
Single,New Hampshire,,25000.0,1,0.0,filing_state_band,474
Single,New Hampshire,,25000.0,2,0.0,filing_state_band,474
Single,New Hampshire,,25000.0,3+,0.0,filing_state_band,474
Single,New Hampshire,25000.0,55000.0,0,1.0,filing_state_band,575
Single,New Hampshire,25000.0,55000.0,1,0.0,filing_state_band,575
Single,New Hampshire,25000.0,55000.0,2,0.0,filing_state_band,575
Single,New Hampshire,25000.0,55000.0,3+,0.0,filing_state_band,575
Single,New Hampshire,55000.0,,0,1.0,filing_state_band,999
Single,New Hampshire,55000.0,,1,0.0,filing_state_band,999
Single,New Hampshire,55000.0,,2,0.0,filing_state_band,999
Single,New Hampshire,55000.0,,3+,0.0,filing_state_band,999
Single,New Jersey,,25000.0,0,1.0,filing_state_band,2379
Single,New Jersey,,25000.0,1,0.0,filing_state_band,2379
Single,New Jersey,,25000.0,2,0.0,filing_state_band,2379
Single,New Jersey,,25000.0,3+,0.0,filing_state_band,2379
Single,New Jersey,25000.0,55000.0,0,1.0,filing_state_band,2635
Single,New Jersey,25000.0,55000.0,1,0.0,filing_state_band,2635
Single,New Jersey,25000.0,55000.0,2,0.0,filing_state_band,2635
Single,New Jersey,25000.0,55000.0,3+,0.0,filing_state_band,2635
Single,New Jersey,55000.0,,0,1.0,filing_state_band,6001
Single,New Jersey,55000.0,,1,0.0,filing_state_band,6001
Single,New Jersey,55000.0,,2,0.0,filing_state_band,6001
Single,New Jersey,55000.0,,3+,0.0,filing_state_band,6001
Single,New Mexico,,25000.0,0,1.0,filing_state_band,1059
Single,New Mexico,,25000.0,1,0.0,filing_state_band,1059
